do_location_id,zone,borough,trip_count,avg_distance_mi,total_distance_mi,avg_fare,total_fare,fare_median
24,Bloomingdale,Manhattan,3415,19.651648023426066,67110.37800000001,76.13330014641289,259995.22000000003,70.0
193,Queensbridge/Ravenswood,Queens,3369,15.935958741466314,53688.24500000001,64.76759869397448,218202.04,63.2
45,Chinatown,Manhattan,3294,18.985649362477226,62538.728999999985,79.66624772313295,262420.61999999994,70.0
121,Hillcrest/Pomonok,Queens,3267,8.410575451484544,27477.350000000002,38.39227731864095,125427.56999999998,36.6
168,Mott Haven/Port Morris,Bronx,3195,18.024356494522696,57587.81900000001,65.03718622848201,207793.81000000006,63.9
1,Newark Airport,EWR,3126,36.1210204734485,112914.31000000001,141.887050543826,443538.9200000001,139.1
55,Coney Island,Brooklyn,3085,15.976014586709889,49286.005000000005,56.6231734197731,174682.49000000002,56.66
131,Jamaica Estates,Queens,2970,9.116486531986531,27075.964999999997,41.03716498316499,121880.38000000003,38.8
133,Kensington,Brooklyn,2912,19.38087122252747,56437.096999999994,73.69673763736263,214604.9,73.0
19,Bellerose,Queens,2894,10.93217726330339,31637.72100000001,43.14188666205945,124852.62000000004,41.5
117,Hammels/Arverne,Queens,2849,10.85648402948403,30930.123,45.38769041769042,129309.53000000001,44.3
64,Douglaston,Queens,2844,12.95712904360056,36850.07499999999,50.39747538677918,143330.41999999998,46.8
21,Bensonhurst East,Brooklyn,2818,17.012900993612483,47942.35499999998,61.03617814052519,171999.94999999998,60.88
202,Roosevelt Island,Manhattan,2799,16.684095033940693,46698.782,70.06022150768129,196098.55999999994,70.0
29,Brighton Beach,Brooklyn,2785,15.041647037701978,41890.98700000001,55.1172998204668,153501.68000000002,55.51
222,Starrett City,Brooklyn,2736,6.7480146198830395,18462.567999999996,26.247719298245613,71813.76,27.97
171,Murray Hill-Queens,Queens,2652,12.142734539969833,32202.532,49.946240573152345,132457.43000000002,47.18
201,Rockaway Park,Queens,2644,13.12519704992436,34703.02100000001,54.059640695915306,142933.69000000006,51.23
220,Spuyten Duyvil/Kingsbridge,Bronx,2597,24.344337697343082,63222.24499999999,91.05172506738545,236461.33000000002,89.1
200,Riverdale/North Riverdale/Fieldston,Bronx,2513,26.17206287306009,65770.394,98.58485873458018,247743.75,95.99
127,Inwood,Manhattan,2510,21.947918326693227,55089.275,75.76470916334661,190169.41999999998,70.0
208,Schuylerville/Edgewater Park,Bronx,2492,17.36909871589085,43283.794,61.7778812199037,153950.48,60.49
252,Whitestone,Queens,2487,13.22946602332127,32901.682,52.74648170486531,131180.50000000003,50.05
175,Oakland Gardens,Queens,2393,12.953861679899708,30998.591,50.251767655662356,120252.48000000003,47.72
101,Glen Oaks,Queens,2379,12.080306010928961,28739.048,48.333009667927705,114984.23000000001,45.0
227,Sunset Park East,Brooklyn,2225,23.248794157303372,51728.567,81.8795415730337,182181.98,82.86
83,Elmhurst/Maspeth,Queens,2204,12.203585753176041,26896.702999999994,49.695036297640655,109527.86,47.72
154,Marine Park/Floyd Bennett Field,Brooklyn,2183,11.270583600549708,24603.684000000012,43.138804397617896,94172.00999999986,43.6
122,Hollis,Queens,2140,7.877318224299067,16857.461000000003,34.93551401869159,74762.0,33.86
69,East Concourse/Concourse Village,Bronx,2108,19.80078842504744,41740.062000000005,71.98988140417457,151754.66999999998,71.6
152,Manhattanville,Manhattan,2098,19.355360343183985,40607.546,71.1638465204957,149301.74999999997,70.0
51,Co-Op City,Bronx,2087,20.04815860086248,41840.50699999999,68.11701485385721,142160.21,66.89
53,College Point,Queens,2032,12.232026082677166,24855.477000000003,49.503754921259834,100591.62999999998,47.08
98,Fresh Meadows,Queens,2000,11.281991500000002,22563.983000000004,47.443435,94886.87,45.0
254,Williamsbridge/Olinville,Bronx,1962,21.373665647298672,41935.132,74.06327217125381,145312.13999999998,73.52
67,Dyker Heights,Brooklyn,1958,19.741416241062307,38653.693,73.68574055158325,144276.68,73.75
185,Pelham Parkway,Bronx,1951,19.242392106612,37541.907000000014,67.07885187083546,130870.84,65.66
9,Auburndale,Queens,1913,12.578524307370623,24062.717,51.22818086774701,97999.51000000002,48.5
213,Soundview/Castle Hill,Bronx,1902,18.087747634069398,34402.89599999999,63.6921924290221,121142.55000000003,62.74
20,Belmont,Bronx,1838,20.62283841131665,37904.777,74.45324265505987,136845.06000000003,72.62
15,Bay Terrace/Fort Totten,Queens,1796,15.321834075723828,27518.013999999996,58.26705456570157,104647.63000000002,57.54
178,Ocean Parkway South,Brooklyn,1771,17.041735742518348,30180.913999999997,68.8214172783738,121882.73000000001,67.4
150,Manhattan Beach,Brooklyn,1758,14.07618828213879,24745.938999999995,53.673373151308304,94357.79,52.68
195,Red Hook,Brooklyn,1723,24.686941961694714,42535.600999999995,94.0436738247243,162037.24999999997,94.46
247,West Concourse,Bronx,1711,19.80803682057276,33891.55099999999,70.83497954412624,121198.65000000001,69.86
259,Woodlawn/Wakefield,Bronx,1704,22.27649941314554,37959.155,79.23129694835681,135010.13,78.47
241,Van Cortlandt Village,Bronx,1642,23.093906820950057,37920.19499999999,81.86538976857489,134422.96999999997,80.72
108,Gravesend,Brooklyn,1638,15.431366300366296,25276.577999999994,54.06394383394384,88556.74,53.99
173,North Corona,Queens,1594,10.64663362609787,16970.734000000004,43.26080928481807,68957.73000000001,42.35
